list_order,name,brand_slug,processor_type,suggested_slug,suggested_sku,source_list_url,price,compareAtPrice,stock_decision,notes
438,ASRock B850 STEEL LEGEND WIFI AM5 DDR5 ATX Motherboard,asrock,AMD,asrock-b850-steel-legend-wifi-am5-ddr5-atx-motherboard,MB-ASROCK-ASROCK-B850-STEEL-LEGEND-AM5,https://www.startech.com.bd/asrock-b850-steel-legend-wifi-motherboard,,,REVIEW,
439,MSI PRO Z790-A MAX WIFI DDR5 ATX Motherboard,msi,Intel,msi-pro-z790-a-max-wifi-ddr5-atx-motherboard,MB-MSI-MSI-PRO-Z790-A-MAX,https://www.startech.com.bd/msi-pro-z790-a-max-wifi-motherboard,,,REVIEW,
440,ASUS PRIME Z790-P-CSM ATX Motherboard,asus,Intel,asus-prime-z790-p-csm-atx-motherboard,MB-ASUS-ASUS-PRIME-Z790-P-CSM,https://www.startech.com.bd/asus-prime-z790-p-csm-motherboard,,,REVIEW,
441,Asus TUF GAMING B650-PLUS DDR5 AM5 ATX Motherboard,asus,AMD,asus-tuf-gaming-b650-plus-ddr5-am5-atx-motherboard,MB-ASUS-ASUS-TUF-GAMING-B650-PLUS-AM5,https://www.startech.com.bd/asus-tuf-gaming-b650-plus-motherboard,,,REVIEW,
442,ASRock Z890 Pro-A WiFi LGA1851 DDR5 ATX Motherboard,asrock,Intel,asrock-z890-pro-a-wifi-lga1851-ddr5-atx-motherboard,MB-ASROCK-ASROCK-Z890-PRO-A-LGA1851,https://www.startech.com.bd/asrock-z890-pro-a-wifi-lga1851-motherboard,,,REVIEW,
443,MSI MAG B860 TOMAHAWK WIFI LGA 1851 ATX Motherboard,msi,Intel,msi-mag-b860-tomahawk-wifi-lga-1851-atx-motherboard,MB-MSI-MSI-MAG-B860-TOMAHAWK-LGA-1851,https://www.startech.com.bd/msi-mag-b860-tomahawk-wifi-motherboard,,,REVIEW,
444,MSI Z790 GAMING PRO WIFI ATX Motherboard,msi,Intel,msi-z790-gaming-pro-wifi-atx-motherboard,MB-MSI-MSI-Z790-GAMING-PRO,https://www.startech.com.bd/msi-z790-gaming-pro-wifi-motherboard,,,REVIEW,
445,MSI MAG B860M MORTAR WIFI LGA 1851 mATX Motherboard,msi,Intel,msi-mag-b860m-mortar-wifi-lga-1851-matx-motherboard,MB-MSI-MSI-MAG-B860M-MORTAR-LGA-1851,https://www.startech.com.bd/msi-mag-b860m-mortar-wifi-motherboard,,,REVIEW,
446,MSI PRO Z790-A WIFI DDR5 ATX Motherboard,msi,Intel,msi-pro-z790-a-wifi-ddr5-atx-motherboard,MB-MSI-MSI-PRO-Z790-A,https://www.startech.com.bd/msi-pro-z790-a-wifi-ddr5-atx-motherboard,,,REVIEW,
447,GIGABYTE B850 AORUS ELITE WIFI7 DDR5 AMD AM5 ATX Motherboard,gigabyte,AMD,gigabyte-b850-aorus-elite-wifi7-ddr5-amd-am5-atx-motherboard,MB-GIGABYTE-GIGABYTE-B850-AORUS-ELITE-AM5,https://www.startech.com.bd/gigabyte-b850-aorus-elite-wifi7-motherboard,,,REVIEW,
448,Asus TUF GAMING B650-PLUS WIFI DDR5 AM5 ATX Motherboard,asus,AMD,asus-tuf-gaming-b650-plus-wifi-ddr5-am5-atx-motherboard,MB-ASUS-ASUS-TUF-GAMING-B650-PLUS-AM5,https://www.startech.com.bd/asus-tuf-gaming-b650-plus-wifi-motherboard,,,REVIEW,
449,MSI PRO X870E-P WIFI AM5 ATX Motherboard,msi,AMD,msi-pro-x870e-p-wifi-am5-atx-motherboard,MB-MSI-MSI-PRO-X870E-P-AM5,https://www.startech.com.bd/msi-pro-x870e-p-wifi-motherboard,,,REVIEW,
450,GIGABYTE X870 GAMING X WIFI7 DDR5 AMD AM5 ATX Motherboard,gigabyte,AMD,gigabyte-x870-gaming-x-wifi7-ddr5-amd-am5-atx-motherboard,MB-GIGABYTE-GIGABYTE-X870-GAMING-X-AM5,https://www.startech.com.bd/gigabyte-x870-gaming-x-wifi7-am5-motherboard,,,REVIEW,
